0	Fields group	Management of the resource											Metadata of the artefact (description of the item)																																																				Link(s) to related resources			0
0													Artefact identity				Related entities			Artefact typology						Artefact format						Copper-plates set format								Date				Place of original exposition			Place of discovery							Place of preservation									Rights					0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the artefact	Designation	Alternative designation	Alternative designation	Identifier(s) of the text(s)	Identifier of the conglomerate artefact	Identifier of the monument	Artefact type 1	Reuse	Artefact type 2	Material type 1	Material type 2	Iconography and decoration	Height	Width	Depth	Diameter	Circumference	Weight	Plates (observed)	Plates (estimated)	Weight other	Binding information	Preservation of seal	Sealing technique	Height (or diam.) of the seal	Width (or diam.) of the seal	CE Date	Date range	History of the artefact	Remarks	Current Availability	Place of original exposition	Place of original exposition ID	Place of discovery	Place of discovery ID	Place of discovery coordinates	Discovery event 1	Date of discovery event 1	Discovery event 2	Date of discovery event 2	Collection or place of preservation	Collection ID or place of preservation ID	Inventory number	preservation event 1	preservation event 1	preservation event 2	preservation event 2	preservation event 3	preservation event 3	Institution or private person	Distribution rights of the artefact	Identifier of the surrogate	Identifier of the digital image	Link to external repository of images	0
10		CONARTVengiCalukya000010			daba	2023-12-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000010							documentary-copper--plate			metal-copper_alloy			5	15					3			Ring hole 2.2 cm from left edge, vertically centred, diameter 0.9 cm.	no	not applicable				646-656	2023-02-06 NOT observed by daba in Chennai	Ring and seal lost, probably never found. Script and hole dimensions are based on the printed estampages and the reported plate size.No findspot and circumstances reported.	in_collection			unknown		unknown	find	1914			Chennai, Government Museum		Sridhar+Balasubramanian2011_01: EC14, acc. no. 58/29	not_observed	2023-02-06						All rights reserved				10
11		CONARTVengiCalukya000011			daba	2024-01-12				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000011							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	5.6	16.2					2	3		Ring hole 2.6 cm from left edge, vertically centred, diameter 1.1 cm. Ring diameter 8.3 cm, thickness 0.8 cm.	yes	seal_on_binding_ring	4.4	4.4		676-678	2016-08-19 argr autopsy	Obtained by Walter Elliot from a Mr. Porter, no other circumstances known.	in_collection			unknown			find	1821-1860			British Library		Ind Ch 7								All rights reserved				11
12		CONARTVengiCalukya000012			daba	2024-01-12				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000012							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	5.5	20					7			Ring hole 2.8 cm from left edge, vertically centred, diameter 1.1 cm. Ring diameter 10 cm.	yes	seal_on_binding_ring				673-675	2016-08-25 argr autopsy	Obtained by Walter Elliot from J. R. Pringle, no other circumstances known.	in_collection			unknown			find	1821-1860			British Library		Ind Ch 6								All rights reserved				12
13		CONARTVengiCalukya000013			daba	2024-01-17				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000013							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	5.1	20.7					5			Ring hole 1.9 cm from left edge, vertically centred, diameter 1.1 cm. Ring diameter 7.6 cm, thickness 1 cm.	yes	seal_on_binding_ring	4.5	4.5		668-672	Handed by the finder to the Tahsildar of Palnad Taluk, who in turn handed it over in 1940 to G. C. Chandra, ex-superintendent of the ASI Madras Circle, who handed it to the Superintendent for Epigraphy, C. R. Krishnamacharlu.	Dimensions measured on ASI estampages where applicable; this seems more accurate than the figures reported by Narasimhaswami, which are the same as those recorded on the ASI cover sheet.Discovered while ploughing by a farmer of Gurazāla village.	?in_collection			Gurazāla, Guntur District, Palnad Taluk, Andhra Pradesh		16.557231447203907, 79.63631731947218	find	1921-1940			ARIE1940-41: acquired for the Indian Museum, Calcutta; Narasimhaswami1955-1956_01: in possession of		ARIE: Acquired for the Indian Museum, Calcutta; Narasimhaswami1955-1956_01: in custody of the Superintendent for Epigraphy, C. R. Krishnamacharlu.								All rights reserved				13
14		CONARTVengiCalukya000014			daba	2024-01-17				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000014							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, "floral device" (lotus?) below.	5.7	17.5				411	3		Plates: 199 g; ring and seal: 212 g.	Plate 3 broken at end, extant width 13.3 cm. Ring diameter 6.3 cm, thickness 1 cm.	yes	seal_on_binding_ring	4.1	4.1		700-702	2023-02-06 NOT observed by daba in Chennai	Was in the Madras Museum by 1883; no information about its discovery.	in_collection			unknown			find	1834-1883			Chennai, Government Museum		SrinivasaAyyangar1918_01: CE3	not_observed	2023-02-06						All rights reserved				14
15		CONARTVengiCalukya000015			daba	2024-02-21				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000015							documentary-copper--plate			metal-copper_alloy		Seal: moon and two stars above legend, lotus below.	6.3	18.1				525	3			Ring hole 2 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 6.3 cm.	yes	seal_on_binding_ring	3.8	3.8		706-718	2023-02-06 NOT observed by daba in Chennai	Came to the ASI from K. Nageswara Rao Pantulu, editor of the Andhra Patrika in Madras	in_collection			unknown			find	1903-1922			Chennai, Government Museum		Sridhar+Balasubramanian2011_01: EC10, acc. no. 45/24	not_observed	2023-02-06						All rights reserved				15
16		CONARTVengiCalukya000016			daba	2024-02-21				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000016							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun (or a star?) above legend, seven-petalled lotus below.	5.8	16.5				408	3			Ring hole 1.6 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 7.6 cm, thickness 0.9 cm.	yes	seal_on_binding_ring	3.8	3.8		740-742	2023-02-10 observed by daba	The plates are slightly hourglass-shaped, with the middle part along the long edges thinner (5.2 cm). The seal currently (2023) associated with the plates in the Eluru Museum cannot be the original, since the ASI cover sheet and Hultzsch agree that the seal legend is śrī-viṣamasiddhi, and the emblem shows a star or the sun in the crescent moon. The seal in the museum bears the legend śrī-sarvvasiddhi and has only the moon above the legend. There is a slight chance that the broken and incomplete seal currently associated with 00055 originally belonged to this set.Found together with 00054 while digging in an unspecified village of Kistna District. Collected by Brindavanam Gopalacharlu of Ipur Ipūr, (Tenali Taluk, Guntur District).	in_collection			Kistna District, Andhra Pradesh			find	1901-1920			Eluru, Archaeological Museum		23	observed	2023-02-10						All rights reserved				16
17		CONARTVengiCalukya000017			daba	2024-02-29				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000017							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	6.8	17.4	0.35			1166	3			Ring hole 1.9 cm from left edge, vertically centred, diameter 1.4 cm. Ring diameter 8 cm.	yes	seal_on_binding_ring	1.7	1.7		755-772	ARIE: returned to owner.	The seal diameter reported by Gai may be wrong.Obtained by the ASI from K. Venkatanarayanappaguru, schoolmaster in Tenali, Guntur District, Andhra Pradesh.	uncertain			unknown			find	1897-1916			unknown										All rights reserved				17
18		CONARTVengiCalukya000018			daba	2024-02-29				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000018							documentary-copper--plate			metal-copper_alloy			7.1	20.3				571	3		Ring and seal: 198 g; plates: 373 g.	Ring hole 2.7 cm from left edge, vertically centred, diameter 1.4 cm. Ring diameter 7.6 cm, thickness 1 cm.	no	not applicable	4.6	4.6		755-772	The original plates were sent to the ASI in 1956, and were returned to the sender R. Subrahmanyan, Superintendent of the Dept. of Archaeology, Guntur.	The socket of the seal is extant, but the seal itself has been pried off and melted down to test for gold.Found while digging near the village. The plates were in a pot filled with husk.	uncertain			Zulakallu/Jūlakallu, Palnad Taluk, Guntur District (now Palnadu Dustrict), Andhra Pradesh		16.44421716048757, 79.7872065496843	find	1951-1955			unknown										All rights reserved				18
19		CONARTVengiCalukya000019			daba	2024-03-12				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000019							documentary-copper--plate			metal-copper_alloy			7.3	22.2					5			Ring hole 3.5 cm from left edge, vertically centred, diameter 1.3 cm. Ring diameter 9.5 cm, thickness 0.85 cm.	no	not applicable				772-808		The inscription ends without filling 4 recto; plate 5 is completely blank. The ring is present and was already cut when Fleet edited the plates, but the seal was already missing at that time.Obtained by Walter Elliot, circumstances unknown. Findspot not identified, see the commentary.	in_collection			Ahadanakaram, Madras Presidency			find	1821-1860			British Library		Ind Ch 9								All rights reserved				19
20		CONARTVengiCalukya000020			daba	2024-03-01				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000020							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun above legend, lotus below.	7.3	17.8					3			Ring hole 2.6 cm from left edge, vertically centred, diameter 1.1 cm. Ring diameter 8.6 cm, thickness 1 cm.	yes	seal_on_binding_ring				755-772	2023-02-06 NOT observed by daba in Chennai	Found in late 1871 (Hultzsch1890_01 citing Sewell). The coordinates shown here are of a village now called Edara. According to Kielhorn, the name is Eedra on the map, and the coordinates are 80° 48’ E 16° 43’ N. According to Natesa Sastri, the village is named Īḍēru and it is near Āgīrīpalle (Hultzsch: Ākiripalle). The Edara I record here, is about 5 km WNW of the exact coordinates indicated by Kielhorn, and 5 km NW of Agiripalli. The plates were discovered while ploughing, together with  00028.	in_collection			Ēḍēru, Nuzividu Zamindari of Kistna District		16.729744256735465, 80.75325049731508	find	1871			Chennai, Government Museum		SrinivasaAyyangar1918_01: CE6	not_observed	2023-02-06						All rights reserved				20
21		CONARTVengiCalukya000021			daba	2024-07-08				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000021							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun above legend, lotus below.	7.6	22.9					5			Ring hole 2.5 cm from left edge, vertically centred, diameter 1.6 cm. Ring diameter 10.8 cm, thickness 1 cm.	yes	seal_on_binding_ring	5.7	5.7		808-847			in_collection			unknown			find	1821-1860			British Library		Ind Ch 23								All rights reserved				21
22		CONARTVengiCalukya000022			daba	2024-03-20				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000022							documentary-copper--plate			metal-copper_alloy			8.9	22.3	0.35			1622	3		Plates: 1120 g; ring: 502 g.	Ring hole 2.3 cm from left edge, vertically centred, diameter 1.5 cm. Ring  thickness 1.2 cm (diameter not reported).	no	not applicable				847-849		The seal is broken away and lost, but the ring was not cut when the plates were first examined.The plates came to the ASI from the collector of Kistna district, and were returned to the sender.	uncertain			Ceruvu-Mādhavaram, Krishna District, Andhra Pradesh		16.69245523370686, 80.54797834718106	find	1949-1953													All rights reserved				22
23		CONARTVengiCalukya000023			daba	2024-01-31				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000023							documentary-copper--plate			metal-copper_alloy		The rim of the seal is formed of three snakes each biting the next one's tail. Above the legend, there is Varāha standing or passing, facing proper right. Crescent moon above Varāha. Aṅkuśa to proper left of Varāha. Complex fully blown lotus at bottom.	9.3	24					5			Ring hole 2.8 cm from left edge, vertically centred, diameter 1.1 cm. Ring diameter 10 cm, thickness 1 cm.	yes	seal_on_binding_ring	7.4	7.4		849-892	2017-11-16: observed by emfr	It is not entirely certain that the seal belongs to the plates; see the commentary. Dimensions have not been measured on the original. Plate width and length are reported by Kielhorn; other plate dimensions calculated on the basis of these and photos of the original; seal and ring dimensions estimated from photo of CP4 with the seal and the reported dimensions of CP4.Probably, but not certainly, obtained by Walter Elliot from the collector of Machilipatnam.	in_collection			unknown			find	1820-1860			The Sir Walter Elliot Archive, University of Edinburgh		Coll-1860/CP 6	observed	2017-11-16						All rights reserved				23
24		CONARTVengiCalukya000024			daba	2024-12-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000024							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha facing proper left, crescent moon and sun above Varāha; aṅkuśa behind Varāha; below legend: lotus. The recto of plate 1 (no visual documentation available) is reported to contain images of a conch, the sun and a club, in a horizontal row from proper right to proper left.	7.6	17.8					5			Ring hole 4.4 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 11.4 cm, thickness 1 cm.	yes	seal_on_binding_ring	5.7	5.7		891-893	2023-02-06 NOT observed by daba in Chennai	Found in a rock-hewn chamber in the quarry compound in Vijayawada. The quarry compound was apparently on the eastern side of the Indrakiladri hill, so the chamber may have been what is now called the Akkanna Madanna cave. Found together with a set of plates professing to be a grant of Viṣṇuvardhana III, which Kielhorn considers spurious. I have not been able to identify the grant to which this may refer.	in_collection			Vijayawada		16.513492507473334, 80.60646716688254	find	1897-06-25			Chennai, Government Museum		SrinivasaAyyangar1918_01: CE9	not_observed	2023-02-06						All rights reserved				24
25		CONARTVengiCalukya000025			daba	2024-12-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000025							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha (rampant?) facing proper left, crescent moon and sun to the proper left of Varāha, aṅkuśa below sun and moon; below legend: lotus.	13.7	25.9				3812	5		Ring and seal: 199 g.	Ring hole 6 cm from left edge, vertically centred, diameter 1.8 cm. Ring diameter 16.5 cm, thickness 1.5 cm.	yes	seal_on_binding_ring	11.2	11.2		892-921	2023-02-15 NOT observed by daba in Hyderabad	The size of the plates is not identical. The values reported by Sankaranarayanan, which are probably averages, have been recorded here. According to Venkataramanayya, plate 2 is about 2 cm longer than the others, and the widths vary from 13.4 to 13.9 cm. For the weight of the set, I record the figure provided by Venkataramanayya. Sankaranarayanan gives it as 214.5 tolas which makes only 2502 grams.00025, 00026 and 00101 were sent to the ASI together from Vinnakota by M. Venkataramanayya, but it is nowhere stated that they were discovered together, and no discovery circumstances have been reported.	in_collection			Vinnakota, Gudivada Taluk, Krishna District, Andhra Prades		16.370132990393493, 81.0885644308245	find	1956-1960			Hyderabad, Telangana State Archaeology Museum			not_observed	2023-02-15						All rights reserved				25
26		CONARTVengiCalukya000026			daba	2024-12-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000026							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha (rampant/passant) facing proper right, crescent moon (no sun) to the proper right of Varāha (no aṅkuśa); below legend: lotus. The missing emblems may have been present and lost to damage.	6.9	15.5				1535	5			Ring hole 3.4 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 8 cm, thickness 1 cm.	yes	seal_on_binding_ring	5	5		892-921		The figure reported for the weight by Sankaranarayanan is 134.5 tolas, which is 1569 grams.00025, 00026 and 00101 were sent to the ASI together from Vinnakota by M. Venkataramanayya, but it is nowhere stated that they were discovered together, and no discovery circumstances have been reported.	uncertain			Vinnakota, Gudivada Taluk, Krishna District, Andhra Pradesh		16.370132990393493, 81.0885644308245	find	1956-1960			unknown										All rights reserved				26
27		CONARTVengiCalukya000027			daba	2025-03-25				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000027							documentary-copper--plate			metal-copper_alloy		Seal (slightly damaged at bottom, no image available): above legend, varāha facing proper right, with aṅkuśa in front and a moon with a dot (representing the sun?) above. Below legend: lotus flower at the bottom.	10.5	20.6				2263	3		Plates: 1551 g; ring and seal: 712 g.	Ring hole 3.8 cm from left edge, vertically centred, diameter 1.5 cm. Ring diameter 11.4 cm (inner diameter?), thickness 1 cm.	yes	seal_on_binding_ring	7	7		921-927	ca. 1946 Returned by Chhabra to the finder.	Found by a peasant named Polavarapu Ankayya, son of Venkata Reddi, of Cēvūru, while digging for pāṭi earth at a ruined mud house in or near the village, approximately ten years before Chhabra's visit in 1938.	uncertain			Cēvūru, Kaikalur Taluk, Kistna District		16.39585534984896, 81.1422164341669	find	1927-1929			unknown		no accession number								All rights reserved				27
